Species_code,Group,Species_name,Official_name,Alternative_names,Common_name,Order,Family,Genus,Diet,Body_mass_g,mean_SVL_mm,Source_SVL
m139,Mammals,Hemigalus derbyanus,Hemigalus derbyanus,NA,Banded palm civet,Carnivora,Viverridae,Hemigalus,0,2322.5,,
m140,Mammals,Paguma larvata,Paguma larvata,NA,Masked palm civet,Carnivora,Viverridae,Paguma,60,4300,,
m141,Mammals,Paradoxurus hermaphroditus,Paradoxurus hermaphroditus,NA,Common palm civet,Carnivora,Viverridae,Paradoxurus,40,3156.66,,
m142,Mammals,Manis javanica,Manis javanica,NA,Sunda pangolin,Pholidota,Manidae,Manis,0,5150,,
m143,Mammals,Macaca nemestrina,Macaca nemestrina,NA,Pig-tailed macaque,Primates,Cercopithecidae,Macaca,0,6296.5,,
m144,Mammals,Hystrix crassispinis,Hystrix crassispinis,NA,Thick-spined porcupine,Rodentia,Hystricidae,Hystrix,0,5445.03,,
m145,Mammals,Hystrix brachyura,Hystrix brachyura,NA,Malayan porcupine,Rodentia,Hystricidae,Hystrix,0,8450,,
m146,Mammals,Trichys fasciculata,Trichys fasciculata,NA,Long-tailed porcupine,Rodentia,Hystricidae,Trichys,0,1655,,
m147,Mammals,Echinosorex gymnura,Echinosorex gymnura,NA,Moonrat,Eulipotyphla,Erinaceidae,Echinosorex,50,957,,
m148,Mammals,Anourosorex squamipes,Anourosorex squamipes,NA,Mole-shrew,Eulipotyphla,Soricidae,Anourosorex,0,20,,
m149,Mammals,Niviventer andersoni,Niviventer andersoni,NA,Anderson's niviventer,Rodentia,Muridae,Niviventer,0,147,,
m150,Mammals,Menetes berdmorei,Menetes berdmorei,NA,Indochinese ground squirrel,Rodentia,Sciuridae,Menetes,0,190,,
m151,Mammals,Tupaia belangeri,Tupaia belangeri,NA,Northern threeshrew,Scandentia,Tupaiidae,Tupaia,0,200,,
m152,Mammals,Macaca leonina,Macaca leonina,NA,Northern pig-tailed macaque,Primates,Cercopithecidae,Macaca,0,5786.96,,
m153,Mammals,Callosciurus sp.,Callosciurus sp.,NA,Squirrels,Rodentia,Sciuridae,Callosciurus,10,260,,
m154,Mammals,Felis catus,Felis catus,NA,Cat,Carnivora,Felidae,Felis,100,2884.8,,
m155,Mammals,Lama guanicoe,Lama guanicoe,Lama glama,Guanaco,Cetartiodactyla,Camelidae,Lama,0,142500,,
m156,Mammals,Equus africanus,Equus africanus,Equus asinus,African wild ass,Perissodactyla,Equidae,Equus,0,244999,,
m157,Mammals,Bos taurus,Bos taurus,NA,Cattle,Artiodactyla,Bovidae,Bos,0,900000,,
m158,Mammals,Erinaceus europaeus ,Erinaceus europaeus ,NA,Hedgehog,Eulipotyphla,Erinaceidae,Erinaceus,20,771,,
m159,Mammals,Perameles natusa,Perameles natusa,NA,NA,Peramelemorphia,Peramelidae,Peramels,20,975,,
m160,Mammals,Isoodon obesulus,Isoodon obesulus,NA,NA,Peramelemorphia,Peramelidae,Isoodon,0,775,,
m161,Mammals,Cercartetus nanus,Cercartetus nanus,NA,NA,Diprotodontia,Burramyidae,Cercartetus,10,24,,
m162,Mammals,Antechinus agilis,Antechinus agilis,NA,NA,Dasyuromorphia,Dasyuridae,Antechinus,10,22.13,,
m163,Mammals,Antechinus swainsonii ,Antechinus swainsonii ,NA,NA,Dasyuromorphia,Dasyuridae,Antechinus,10,53,,
m164,Mammals,Mastacomys fuscus,Mastacomys fuscus,NA,NA,Rodentia,Muridae,Mastacomys,0,125.75,,
m165,Mammals,Barbastella barbastellus,Barbastella barbastellus,NA,Western barbastelle,Chiroptera,Vespertilionidae,Barbastella,0,8.03,,
m166,Mammals,Myotis spp.,Myotis spp.,NA,NA,Chiroptera,Vespertilionidae,Myotis,0,8.7,,
m167,Mammals,Plecotus spp.,Plecotus spp.,NA,Long-eared bats,Chiroptera,Vespertilionidae,Plecotus,0,7.78,,
m168,Mammals,Pipistrellus kuhlii,Pipistrellus kuhlii,NA,Kuhl's pipistrelle,Chiroptera,Vespertilionidae,Pipistrellus,0,5.93,,
m169,Mammals,Pipistrellus pipistrellus,Pipistrellus pipistrellus,NA,Common pipistrelle,Chiroptera,Vespertilionidae,Pipistrellus,0,5.69,,
m170,Mammals,Pipistrellus pygmaeus,Pipistrellus pygmaeus,NA,Soprano pipistrelle,Chiroptera,Vespertilionidae,Pipistrellus,0,5.28,,
m171,Mammals,Pipistrellus spp./M. Schreibersii,Pipistrellus spp./M. Schreibersii,NA,NA,Chiroptera,Vespertilionidae/miniopteridae,Pipistrellus/Miniopterus,0,5.99,,
m172,Mammals,Eptesicus spp.,Eptesicus spp.,NA,NA,Chiroptera,Vespertilionidae,Eptesicus,0,11.7,,
m173,Mammals,Nyctalus spp.,Nyctalus spp.,NA,NA,Chiroptera,Vespertilionidae,Nyctalus,0,26.18,,
m174,Mammals,Tadarida teniotis,Tadarida teniotis,NA,European free-tailed bat,Chrioptera,Molossidae,Tadarida,0,27.04,,
b1,Birds,Accipiter gentilis,Accipiter gentilis,-,Northern Goshawk,Accipitriformes,Accipitridae,Accipiter,100,866.04,,
b2,Birds,Aegypius monachus,Aegypius monachus,-,"Cinereous vulture, European black vulture",Accipitriformes,Accipitridae,Aegypius,100,9320.55,,
b3,Birds,Aquila adalberti,Aquila adalberti,-,Spanish imperial eagle,Accipitriformes,Accipitridae,Aquila,100,2958.03,,
b4,Birds,Aquila pennata,Hieraaetus pennatus,-,Booted eagle,Accipitriformes,Accipitridae,Aquila,90,823.75,,
b5,Birds,Buteo buteo,Buteo buteo,-,Common buzzard,Accipitriformes,Accipitridae,Hieraaetus,100,759.1,,
b6,Birds,Falco tinnunculus,Falco tinnunculus,-,Common kestrel,Falconiformes,Falconidae,Falco,90,183.21,,
b7,Birds,Gyps fulvus,Gyps fulvus,-,Griffon vulture,Accipitriformes,Accipitridae,Gyps,100,7435.99,,
b8,Birds,Milvus milvus,Milvus milvus,-,Red kite,Accipitriformes,Accipitridae,Milvus,100,1071.77,,
b9,Birds,Milvus migrans,Milvus migrans,-,Black kite,Accipitriformes,Accipitridae,Milvus,100,734.1,,
b10,Birds,Agelaius phoeniceus,Agelaius phoeniceus,-,Red-winged blackbird,Passeriformes,Icteridae,Agelaius,0,50.78,,
b11,Birds,Eremophila alpestris,Eremophila alpestris,-,Horned lark,Passeriformes,Alaudidae,Eremophila,0,33.33,,
b12,Birds,Fringilla coelebs,Fringilla coelebs,-,Common Chaffinch,Passeriformes,Fringillidae,Fringilla,0,23.81,,
b13,Birds,Erithacus rubecula,Erithacus rubecula,-,European Robin,Passeriformes,Muscicapidae,Erithacus,30,17.7,,
b14,Birds,Cyanistes caeruleus,Cyanistes caeruleus,Parus caeruleus,Eurasian Blue Tit,Passeriformes,Paridae,Cyanistes,0,13.3,,
b15,Birds,Turdus merula,Turdus merula,-,Eurasian Blackbird,Passeriformes,Turdidae,Turdus,10,102.73,,
b16,Birds,Serinus canaria,Serinus canaria,-,Island Canary,Passeriformes,Fringillidae,Serinus,0,24.3,,
b17,Birds,Columba bollii,Columba bollii,-,Dark-tailed Laurel Pigeon,Columbiformes,Columbidae,Columba,0,308.46,,
b18,Birds,Phylloscopus canariensis,Phylloscopus canariensis,-,Canary Islands Chiffchaff,Passeriformes,Phylloscopidae,Phylloscopus,0,8.2,,
b19,Birds,Regulus regulus,Regulus regulus,-,Goldcrest,Passeriformes,Regulidae,Regulus,0,5.54,,
b20,Birds,Thamnomanes caesius,Thamnomanes caesius,-,Cinereous antshrike,Passeriformes,Thamnophilidae,Thamnomanes,0,15.7,,
b21,Birds,Thamnomanes ardesiacus,Thamnomanes ardesiacus,-,Dusky-throated antshrike,Passeriformes,Thamnophilidae,Thamnomanes,0,17.7,,
b22,Birds,Xiphorhynchus pardalotus,Xiphorhynchus pardalotus,-,Chestnut-rumped woodcreeper,Passeriformes,Furnariidae,Xiphorhynchus,0,34.57,,
