Author,Year,NumberInDatabase,#Studies,#DatapointsFinal,StudyYear,Taxa,Orders,Infrastructure,Location,Habitat,Quality,Origin,Citation
Bayne et al. ,2016,49,2,236,2002-2014,Birds,"Passeriformes (50 sp.), Piciformest (5 sp.), Charadriiformes (3 sp.), Galliformes (1 sp.)","Seismic line, pipeline","Alberta, USA & Northwest terrirories, Canada",Boreal forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Bayne, E., Leston, L., Mahon, C. L., Sólymos, P., Machtans, C., Lankau, H., ... & Schmiegelow, F. K. (2016). Boreal bird abundance estimates within different energy sector disturbances vary with point count radius. The Condor: Ornithological Applications, 118(2), 376-390."
Cameron et al. ,1992,51,1,6,1982-1987,Mammals,Cetartiodactyla  (1 sp.),Unpaved road,"Prudhoe bay, Alaska, USA",Artctic tundra,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Cameron, R. D., Reed, D. J., Dau, J. R., & Smith, W. T. (1992). Redistribution of calving caribou in response to oil field development on the Arctic Slope of Alaska. Arctic, 338-342."
Goosem & Marsh,1997,53,2,39,1992-1993,Mammals,Rodentia (5 sp.),Powerline,"Wooroonooran National Park, Australia",Tropical forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Goosem, M., & Marsh, H. (1997). Fragmentation of a small-mammal community by a powerline corridor through tropical rainforest. Wildlife Research, 24(5), 613-629."
Nelleman et al. ,2001,54,1,3,1986-1998,Mammals,Cetartiodactyla  (1 sp.),Powerline,"Nordfjella, Norway",Artctic tundra,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Nellemann, C., Vistnes, I., Jordhøy, P., & Strand, O. (2001). Winter distribution of wild reindeer in relation to power lines, roads and resorts. Biological conservation, 101(3), 351-360."
Newmark et al. ,1996,55,2,28,"1988, 1989, 1991, 1992",Mammals,"Bovidae (1 sp.), Equidae (1 sp.), Elephantidae (1 sp.)",Highway,"Mikumi national park, Tanzania","Woodland, grassland","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Newmark, W. D., Boshe, J. I., Sariko, H. I., & Makumbule, G. K. (1996). Effects of a highway on large mammals in Mikumi National Park, Tanzania. African Journal of Ecology, 34(1), 15-31."
Noel et al. ,2004,56,1,6,"1991,1994,1996,1998,1999,2000,2001",Mammals,Cetartiodactyla  (1 sp.),Unpaved road,"Prudhoe bay, Alaska, USA",Artctic tundra,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Noel, L. E., Parker, K. R., & Cronin, M. A. (2004). Caribou distribution near an oilfield road on Alaska's North Slope, 1978–2001. Wildlife Society Bulletin, 32(3), 757-771."
Ortega & Capen,1999,57,1,6,1996,Birds,Passeriformes (1 sp.),Powerline,"Vermont, USA",Temperate forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Ortega, Y. K., & Capen, D. E. (1999). Effects of forest roads on habitat quality for ovenbirds in a forested landscape. The Auk, 116(4), 937-946."
Vistnes & Nelleman,2001,58,1,2,1998-1999,Mammals,Cetartiodactyla  (1 sp.),Powerline,"Repparfjort, Norway",Arctic tundra,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Vistnes, I., & Nellemann, C. (2001). Avoidance of cabins, roads, and power lines by reindeer during calving. The Journal of wildlife management, 915-925."
Kroodsma,1984,59,1,674,1977-1981,Birds,"Piciformes (3 sp.), Cuculiformes (1 sp.), Passeriformes (18 sp.)",Powerline,"Tenessee, USA",Temperate forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Kroodsma, R. L. (1984). Effect of edge on breeding forest bird species. The Wilson Bulletin, 426-436."
Loyla,2019,63,6,141,2016-2018,Birds,Passeriformes(16 sp.),Pipeline,"Appalachian region, Ohio, USA",Forest,"2 (a=1,b=1)",Search string,"Lolya, L. M. (2019). Assessing Avian Responses to Habitat Management Along Pipeline Right-of-ways in Eastern Ohio (Doctoral dissertation, The Ohio State University)."
