"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * logBM + logD * Habitat",2425.86431094499,"2477.91864928016","9.99598528476583","0.0753490812719117","6355.17009348427","0","0.2835","0.0535","0.4116","0.0868","0.0066","0.0136","0.6679",51.2417010466497
"~logD * logBM + logD2",2425.99580986914,"2473.34174081753","7.69359997819791","0.10346919970325","6524.18345883428","0","0.2784","0.0433","0.4204","0.1047","0.0096","0.0103","0.6782",51.3731999707998
"~logBM",2426.36840300928,"2459.56031169482","1.10356410191459","0.29348526133491","7527.29710831097","0","0.2857","0.0442","0.4152","0.0906","0.0089","0.0015","0.6623",51.7457931109398
"~logD * Habitat + logD2 + logBM + InfraType",2426.42552183586,"2487.88217312618","13.4267192775522","0.062369250677166","6011.33764863984","0","0.2802","0.0443","0.4171","0.1028","0.0073","0.0179","0.6768",51.8029119375196
"~Habitat",2426.59750001499,"2459.78940870052","0.730191789734728","0.392821029041288","8373.25098178813","0","0.2859","0.0322","0.4227","0.0928","0.0086","0.001","0.6609",51.9748901166499
"~logD * Habitat + logBM",2426.63450992217,"2473.98044087056","7.15740558372929","0.127800213421669","6902.88894962531","0","0.2914","0.0453","0.4024","0.076","0.0053","0.01","0.6484",52.0119000238296
"~logD * logBM",2426.9934165617,"2469.62612885179","4.63551673741805","0.200516365339774","6553.96774517185","0","0.2829","0.0484","0.4133","0.0909","0.0092","0.0063","0.6672",52.3708066633599
"~logD + Habitat",2427.06688782623,"2464.98158708792","2.35614726437835","0.307871240977651","7321.9559276672","0","0.2907","0.0303","0.4095","0.0798","0.0074","0.0033","0.6457",52.4442779278897
"~logD + logBM",2427.08336475247,"2464.99806401416","2.46089371882247","0.29216199317032","7238.8337800234","0","0.2899","0.0419","0.4042","0.0801","0.0079","0.0034","0.6494",52.4607548541298
"~logD * logBM + logD2 + Habitat",2427.24782480323,"2479.3021631384","8.47527489674649","0.131914709123238","6446.64043359445","0","0.279","0.0425","0.4228","0.1048","0.0091","0.0113","0.6786",52.6252149048896
"~logD + logD2 + InfraType",2427.32810942546,"2474.67404037385","6.24555649350802","0.181545134925712","6529.99140654899","0","0.2794","0.0305","0.4256","0.1086","0.0104","0.0084","0.6758",52.7054995271196
"~logD * logBM + logD2 + logD * Habitat + InfraType",2427.93873857659,"2494.08926123289","14.0913387782206","0.0794155506482189","5840.33252623483","0","0.2782","0.0485","0.4205","0.1056","0.0078","0.0186","0.6828",53.3161286782497
