"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Habitat + logD2 * Habitat + Diet + InfraType",6445.01236920499,"6532.00252294655","35.0268124699717","5.89379499801653e-05","25990.7546675668","0","0.1965","0.0452","0.1201","0.0693","0.161","0.0234","0.6758",24.8370475191005
"~logD * Habitat + logD2 * Habitat + logBM + InfraType",6445.58735773623,"6532.57751147779","34.8886700657722","6.23383241737825e-05","26054.9906351422","0","0.1963","0.0526","0.12","0.0789","0.1623","0.0226","0.6855",25.4120360503402
"~logD * Habitat + logD2 * Habitat + Diet + logBM + InfraType",6446.77244931432,"6539.54882171853","35.605808847307","9.83644455720128e-05","25961.2509314285","0","0.1966","0.0522","0.1201","0.0673","0.1611","0.0236","0.6786",26.5971276284299
"~logD + logD2 + Habitat",6451.31103285387,"6503.54929570818","16.6402062396056","0.000837948130266561","26389.7465600919","0","0.1987","0.0367","0.1192","0.1133","0.1373","0.011","0.6752",31.1357111679799
"~logD + logD2",6451.94818946744,"6498.38872608204","13.4687358543002","0.00118932670374899","26661.1938212743","0","0.1985","0.0321","0.1208","0.087","0.1525","0.0091","0.6672",31.7728677815503
"~logD + logD2 + Diet + Habitat",6452.44649575413,"6510.48084691971","17.3922457460444","0.00162151112513189","26334.834317702","0","0.199","0.0402","0.1186","0.0994","0.1355","0.0117","0.6681",32.2711740682407
"~logD + logD2 + logBM + Habitat",6452.49028065069,"6510.52463181627","17.6958794494769","0.00141492683429802","26389.1235570076","0","0.1989","0.0469","0.1183","0.1044","0.1364","0.0117","0.675",32.3149589648001
"~logD + logD2 + logBM",6452.73817366733,"6504.97643652163","14.959164920045","0.00185187995527141","26618.2203023971","0","0.1987","0.044","0.1195","0.0781","0.1499","0.0102","0.6667",32.56285198144
"~logD + logD2 + Diet",6452.86967773135,"6505.10794058566","14.5096745862901","0.00228743573097722","26618.9620210583","0","0.1988","0.0355","0.12","0.0729","0.1494","0.0101","0.6587",32.6943560454602
"~logD + logD2 + Diet + logBM + Habitat",6454.17276702371,"6518.00156657384","17.9530379893068","0.00300584052700796","26309.0223237802","0","0.1991","0.0473","0.1184","0.0981","0.1355","0.012","0.6713",33.99744533782
